"","Type","Name","Active_Cases","Cumulative_Faculty_Staff_Cases","Cumulative_Student_Cases","Cumulative_Total","Date"
"2467","PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",29,7,37,48,2021-09-02
"2468","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",29,11,34,61,2021-09-02
"2469","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",29,0,52,53,2021-09-02
"2470","PUBLIC SCHOOL DISTRICT","CAMDEN FAIRVIEW SCHOOL DIST",28,8,33,53,2021-09-02
"2471","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",28,NA,NA,64,2021-09-02
"2472","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",28,NA,NA,44,2021-09-02
"2473","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",28,11,68,88,2021-09-02
"2474","PUBLIC SCHOOL DISTRICT","CROSSETT SCHOOL DIST",27,NA,NA,50,2021-09-02
"2475","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",27,7,36,52,2021-09-02
"2476","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",27,5,54,63,2021-09-02
"2477","PUBLIC SCHOOL DISTRICT","WALDRON SCHOOL DIST",27,NA,NA,41,2021-09-02
"2478","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",26,6,47,62,2021-09-02
"2479","PUBLIC SCHOOL DISTRICT","SOUTH PIKE COUNTY SCHOOL DIST",26,6,25,35,2021-09-02
"2480","PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",25,7,36,50,2021-09-02
"2481","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",25,NA,NA,52,2021-09-02
"2482","PUBLIC SCHOOL DISTRICT","MANSFIELD SCHOOL DIST",25,6,22,35,2021-09-02
"2483","PUBLIC SCHOOL DISTRICT","VILONIA SCHOOL DIST",25,8,45,68,2021-09-02
"2484","PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",25,8,18,33,2021-09-02
"2485","PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",24,6,50,64,2021-09-02
"2486","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",24,6,41,57,2021-09-02
"2487","PUBLIC SCHOOL DISTRICT","RIVERCREST SCHOOL DIST",24,NA,NA,31,2021-09-02
"2488","PUBLIC SCHOOL DISTRICT","BERRYVILLE SCHOOL DIST",22,10,34,54,2021-09-02
"2489","PUBLIC SCHOOL DISTRICT","CENTERPOINT SCHOOL DIST",22,NA,NA,30,2021-09-02
"2490","PUBLIC SCHOOL DISTRICT","GENTRY SCHOOL DIST",22,NA,NA,42,2021-09-02
"2491","PUBLIC SCHOOL DISTRICT","HOT SPRINGS SCHOOL DIST",22,6,33,39,2021-09-02
"2492","PUBLIC SCHOOL DISTRICT","ATKINS SCHOOL DIST",21,6,23,35,2021-09-02
"2493","PUBLIC SCHOOL DISTRICT","BEEBE SCHOOL DIST",21,NA,NA,42,2021-09-02
"2494","PUBLIC SCHOOL DISTRICT","LINCOLN SCHOOL DIST",21,5,25,31,2021-09-02
"2495","PUBLIC SCHOOL DISTRICT","HAZEN SCHOOL DIST",20,NA,NA,24,2021-09-02
"2496","PUBLIC SCHOOL DISTRICT","HIGHLAND SCHOOL DIST",20,NA,NA,47,2021-09-02
"2497","PUBLIC SCHOOL DISTRICT","ESTEM PUBLIC CHARTER SCHOOL DIST",19,11,48,62,2021-09-02
"2498","PUBLIC SCHOOL DISTRICT","NEVADA SCHOOL DIST",19,0,23,23,2021-09-02
"2499","PUBLIC SCHOOL DISTRICT","NEWPORT SCHOOL DIST",19,NA,NA,40,2021-09-02
"2500","PUBLIC SCHOOL DISTRICT","PARKERS CHAPEL SCHOOL DIST",19,NA,NA,29,2021-09-02
"2501","PUBLIC SCHOOL DISTRICT","WHITE HALL SCHOOL DIST",19,8,25,43,2021-09-02
"2502","PUBLIC SCHOOL DISTRICT","CORNING SCHOOL DIST",18,NA,NA,27,2021-09-02
"2503","PUBLIC SCHOOL DISTRICT","EMERSON",18,NA,NA,30,2021-09-02
"2504","PUBLIC SCHOOL DISTRICT","EUREKA SPRINGS SCHOOL DIST",18,NA,NA,24,2021-09-02
"2505","PUBLIC SCHOOL DISTRICT","GREENLAND SCHOOL DIST",18,NA,NA,25,2021-09-02
"2506","PUBLIC SCHOOL DISTRICT","LISA ACADEMY",18,7,36,55,2021-09-02
"2507","PUBLIC SCHOOL DISTRICT","MONTICELLO SCHOOL DIST",18,5,28,36,2021-09-02
"2508","PUBLIC SCHOOL DISTRICT","POTTSVILLE SCHOOL DIST",18,5,30,37,2021-09-02
"2509","PUBLIC SCHOOL DISTRICT","SOUTH CONWAY COUNTY SCHOOL DIST",18,NA,NA,44,2021-09-02
"2510","PUBLIC SCHOOL DISTRICT","BLYTHEVILLE SCHOOL DIST",17,5,29,37,2021-09-02
"2511","PUBLIC SCHOOL DISTRICT","DREW CENTRAL SCHOOL DIST",17,NA,NA,22,2021-09-02
"2512","PUBLIC SCHOOL DISTRICT","EAST POINSETT CO. SCHOOL DIST",17,5,18,25,2021-09-02
"2513","PUBLIC SCHOOL DISTRICT","GUY",17,NA,NA,25,2021-09-02
"2514","PUBLIC SCHOOL DISTRICT","HARMONY GROVE SCH DIST(SALINE)",17,NA,NA,29,2021-09-02
"2515","PUBLIC SCHOOL DISTRICT","MANILA SCHOOL DIST",17,NA,NA,25,2021-09-02
"2516","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",17,NA,NA,34,2021-09-02
"2517","PUBLIC SCHOOL DISTRICT","SEARCY COUNTY SCHOOL DIST",17,NA,NA,31,2021-09-02
"2518","PUBLIC SCHOOL DISTRICT","GENOA CENTRAL SCHOOL DIST",16,5,19,28,2021-09-02
"2519","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(GARLAND)",16,NA,NA,51,2021-09-02
"2520","PUBLIC SCHOOL DISTRICT","MINERAL SPRINGS SCHOOL DIST",16,NA,NA,22,2021-09-02
"2521","PUBLIC SCHOOL DISTRICT","TRUMANN SCHOOL DIST",16,NA,NA,35,2021-09-02
"2522","PUBLIC SCHOOL DISTRICT","CHARLESTON SCHOOL DIST",15,NA,NA,22,2021-09-02
"2523","PUBLIC SCHOOL DISTRICT","CROSS COUNTY SCHOOL DIST",15,0,20,25,2021-09-02
"2524","PUBLIC SCHOOL DISTRICT","DARDANELLE SCHOOL DIST",15,6,26,36,2021-09-02
"2525","PUBLIC SCHOOL DISTRICT","EL DORADO SCHOOL DIST",15,NA,NA,22,2021-09-02
"2526","PUBLIC SCHOOL DISTRICT","HECTOR SCHOOL DIST",15,NA,NA,20,2021-09-02
"2527","PUBLIC SCHOOL DISTRICT","MARMADUKE SCHOOL DIST",15,5,18,33,2021-09-02
"2528","PUBLIC SCHOOL DISTRICT","PIGGOTT SCHOOL DIST",15,NA,NA,23,2021-09-02
"2529","PUBLIC SCHOOL DISTRICT","WATSON CHAPEL SCHOOL DIST",15,NA,NA,35,2021-09-02
"2530","PUBLIC SCHOOL DISTRICT","CAVE CITY SCHOOL DIST",14,NA,NA,25,2021-09-02
"2531","PUBLIC SCHOOL DISTRICT","HACKETT SCHOOL DIST",14,NA,NA,19,2021-09-02
"2532","PUBLIC SCHOOL DISTRICT","HORATIO SCHOOL DIST",14,NA,NA,27,2021-09-02
"2533","PUBLIC SCHOOL DISTRICT","JACKSONVILLE LIGHTHOUSE CHARTER",14,NA,NA,22,2021-09-02
"2534","PUBLIC SCHOOL DISTRICT","JASPER SCHOOL DIST",14,NA,NA,15,2021-09-02
"2535","PUBLIC SCHOOL DISTRICT","VALLEY VIEW SCHOOL DIST",14,NA,NA,35,2021-09-02
"2536","PUBLIC SCHOOL DISTRICT","ARKADELPHIA SCHOOL DIST",13,0,20,22,2021-09-02
"2537","PUBLIC SCHOOL DISTRICT","AUGUSTA SCHOOL DIST",13,NA,NA,19,2021-09-02
"2538","PUBLIC SCHOOL DISTRICT","COTTER SCHOOL DIST",13,0,17,22,2021-09-02
"2539","PUBLIC SCHOOL DISTRICT","FOUNTAIN LAKE SCHOOL DIST",13,NA,NA,24,2021-09-02
"2540","PUBLIC SCHOOL DISTRICT","HARRISON SCHOOL DIST",13,7,23,37,2021-09-02
"2541","PUBLIC SCHOOL DISTRICT","MIDLAND SCHOOL DIST",13,NA,NA,19,2021-09-02
"2542","PUBLIC SCHOOL DISTRICT","PINE BLUFF SCHOOL DIST",13,5,28,34,2021-09-02
"2543","PUBLIC SCHOOL DISTRICT","SOUTHSIDE SCHOOL DIST(INDEPENDENCE)",13,NA,NA,22,2021-09-02
"2544","PUBLIC SCHOOL DISTRICT","JACKSON CO. SCHOOL DIST",12,NA,NA,25,2021-09-02
"2545","PUBLIC SCHOOL DISTRICT","BALD KNOB SCHOOL DIST",11,0,21,24,2021-09-02
"2546","PUBLIC SCHOOL DISTRICT","BAUXITE SCHOOL DIST",11,NA,NA,21,2021-09-02
"2547","PUBLIC SCHOOL DISTRICT","BAY SCHOOL DIST",11,NA,NA,16,2021-09-02
"2548","PUBLIC SCHOOL DISTRICT","COSSATOT RIVER SCHOOL DIST",11,7,16,29,2021-09-02
"2549","PUBLIC SCHOOL DISTRICT","DEER/MT. JUDEA SCHOOL DIST",11,NA,NA,14,2021-09-02
"2550","PUBLIC SCHOOL DISTRICT","DUMAS SCHOOL DIST",11,NA,NA,23,2021-09-02
"2551","PUBLIC SCHOOL DISTRICT","ELKINS SCHOOL DIST",11,NA,NA,21,2021-09-02
"2552","PUBLIC SCHOOL DISTRICT","FLIPPIN SCHOOL DIST",11,NA,NA,30,2021-09-02
"2553","PUBLIC SCHOOL DISTRICT","FOREMAN SCHOOL DIST",11,NA,NA,16,2021-09-02
"2554","PUBLIC SCHOOL DISTRICT","HELENA/WEST HELENA SCHOOL DIST",11,NA,NA,18,2021-09-02
"2555","PUBLIC SCHOOL DISTRICT","LAVACA SCHOOL DIST",11,5,17,26,2021-09-02
"2556","PUBLIC SCHOOL DISTRICT","QUITMAN SCHOOL DIST",11,0,12,14,2021-09-02
"2557","PUBLIC SCHOOL DISTRICT","ROSE BUD SCHOOL DIST",11,NA,NA,24,2021-09-02
"2558","PUBLIC SCHOOL DISTRICT","SMACKOVER",11,NA,NA,16,2021-09-02
"2559","PUBLIC SCHOOL DISTRICT","COUNTY LINE SCHOOL DIST",10,NA,NA,22,2021-09-02
"2560","PUBLIC SCHOOL DISTRICT","DEWITT SCHOOL DIST",10,NA,NA,21,2021-09-02
"2561","PUBLIC SCHOOL DISTRICT","FOUKE SCHOOL DIST",10,7,15,23,2021-09-02
"2562","PUBLIC SCHOOL DISTRICT","GOSNELL SCHOOL DIST",10,5,17,29,2021-09-02
"2563","PUBLIC SCHOOL DISTRICT","JESSIEVILLE SCHOOL DIST",10,NA,NA,23,2021-09-02
"2564","PUBLIC SCHOOL DISTRICT","JUNCTION CITY SCHOOL DIST",10,NA,NA,15,2021-09-02
"2565","PUBLIC SCHOOL DISTRICT","MOUNTAIN PINE SCHOOL DIST",10,NA,NA,18,2021-09-02
"2566","PUBLIC SCHOOL DISTRICT","RECTOR SCHOOL DIST",10,NA,NA,17,2021-09-02
"2567","PUBLIC SCHOOL DISTRICT","TEXARKANA SCHOOL DIST",10,NA,NA,25,2021-09-02
"2568","PUBLIC SCHOOL DISTRICT","TWO RIVERS SCHOOL DIST",10,NA,NA,17,2021-09-02
"2569","PUBLIC SCHOOL DISTRICT","WARREN SCHOOL DIST",10,NA,NA,24,2021-09-02
"2570","PUBLIC SCHOOL DISTRICT","WEST FORK SCHOOL DIST",10,NA,NA,13,2021-09-02
"2571","PUBLIC SCHOOL DISTRICT","WESTERN YELL CO. SCHOOL DIST",10,NA,NA,14,2021-09-02
"2572","PUBLIC SCHOOL DISTRICT","BERGMAN SCHOOL DIST",9,5,22,31,2021-09-02
"2573","PUBLIC SCHOOL DISTRICT","CEDARVILLE SCHOOL DIST",9,NA,NA,19,2021-09-02
"2574","PUBLIC SCHOOL DISTRICT","EXALT ACADEMY OF SOUTHWEST LITTLE ROCK",9,NA,NA,17,2021-09-02
"2575","PUBLIC SCHOOL DISTRICT","MCGEHEE SCHOOL DIST",9,NA,NA,17,2021-09-02
"2576","PUBLIC SCHOOL DISTRICT","OSCEOLA SCHOOL DIST",9,NA,NA,11,2021-09-02
"2577","PUBLIC SCHOOL DISTRICT","RESPONSIVE ED SOLUTIONS NORTHWEST",9,NA,NA,17,2021-09-02
"2578","PUBLIC SCHOOL DISTRICT","STAR CITY SCHOOL DIST",9,NA,NA,32,2021-09-02
"2579","PUBLIC SCHOOL DISTRICT","ARKANSAS ARTS ACADEMY",8,NA,NA,20,2021-09-02
"2580","PUBLIC SCHOOL DISTRICT","GREEN FOREST SCHOOL DIST",8,NA,NA,12,2021-09-02
"2581","PUBLIC SCHOOL DISTRICT","KIRBY SCHOOL DIST",8,NA,NA,10,2021-09-02
"2582","PUBLIC SCHOOL DISTRICT","PANGBURN SCHOOL DIST",8,NA,NA,23,2021-09-02
"2583","PUBLIC SCHOOL DISTRICT","PARIS SCHOOL DIST",8,NA,NA,17,2021-09-02
"2584","PUBLIC SCHOOL DISTRICT","PRESCOTT SCHOOL DIST",8,0,11,12,2021-09-02
"2585","PUBLIC SCHOOL DISTRICT","SPRING HILL SCHOOL DIST",8,NA,NA,26,2021-09-02
"2586","PUBLIC SCHOOL DISTRICT","WEST SIDE SCHOOL DIST(CLEBURNE)",8,NA,NA,17,2021-09-02
"2587","PUBLIC SCHOOL DISTRICT","ACADEMICS PLUS PUBLIC CHARTER SCHOOLS",7,0,25,37,2021-09-02
"2588","PUBLIC SCHOOL DISTRICT","BUFFALO IS. CENTRAL SCH. DIST",7,NA,NA,18,2021-09-02
"2589","PUBLIC SCHOOL DISTRICT","CARLISLE SCHOOL DIST",7,5,11,24,2021-09-02
"2590","PUBLIC SCHOOL DISTRICT","HOXIE SCHOOL DIST",7,0,17,18,2021-09-02
"2591","PUBLIC SCHOOL DISTRICT","LAKESIDE SCHOOL DIST(CHICOT)",7,0,17,21,2021-09-02
"2592","PUBLIC SCHOOL DISTRICT","MAGNET COVE SCHOOL DIST",7,NA,NA,20,2021-09-02
"2593","PUBLIC SCHOOL DISTRICT","MAYFLOWER SCHOOL DIST",7,NA,NA,13,2021-09-02
"2594","PUBLIC SCHOOL DISTRICT","OZARK SCHOOL DIST",7,NA,NA,22,2021-09-02
"2595","PUBLIC SCHOOL DISTRICT","RIVERSIDE SCHOOL DIST",7,NA,NA,16,2021-09-02
"2596","PUBLIC SCHOOL DISTRICT","YELLVILLE",7,NA,NA,14,2021-09-02
"2597","PUBLIC SCHOOL DISTRICT","DANVILLE SCHOOL DIST",6,NA,NA,17,2021-09-02
"2598","PUBLIC SCHOOL DISTRICT","LEE COUNTY SCHOOL DIST",6,0,7,7,2021-09-02
"2599","PUBLIC SCHOOL DISTRICT","LONOKE SCHOOL DIST",6,NA,NA,25,2021-09-02
"2600","PUBLIC SCHOOL DISTRICT","MOUNTAINBURG SCHOOL DIST",6,0,9,14,2021-09-02
"2601","PUBLIC SCHOOL DISTRICT","MULBERRY/PLEASANT VIEW BI",6,NA,NA,8,2021-09-02
"2602","PUBLIC SCHOOL DISTRICT","RIVERVIEW SCHOOL DIST",6,5,12,19,2021-09-02
"2603","PUBLIC SCHOOL DISTRICT","SALEM SCHOOL DIST",6,NA,NA,20,2021-09-02
"2604","PUBLIC SCHOOL DISTRICT","WONDERVIEW SCHOOL DIST",6,NA,NA,8,2021-09-02
"2605","PUBLIC SCHOOL DISTRICT","CLEVELAND COUNTY SCHOOL DIST",5,NA,NA,9,2021-09-02
"2606","PUBLIC SCHOOL DISTRICT","CLINTON SCHOOL DIST",5,NA,NA,16,2021-09-02
"2607","PUBLIC SCHOOL DISTRICT","ENGLAND SCHOOL DIST",5,0,9,12,2021-09-02
"2608","PUBLIC SCHOOL DISTRICT","HERMITAGE SCHOOL DIST",5,NA,NA,10,2021-09-02
"2609","PUBLIC SCHOOL DISTRICT","LAFAYETTE COUNTY SCHOOL DIST",5,NA,NA,10,2021-09-02
"2610","PUBLIC SCHOOL DISTRICT","MARKED TREE SCHOOL DIST",5,NA,NA,14,2021-09-02
"2611","PUBLIC SCHOOL DISTRICT","MOUNT IDA SCHOOL DIST",5,5,12,17,2021-09-02
"2612","PUBLIC SCHOOL DISTRICT","MT. VERNON/ENOLA SCHOOL DIST",5,NA,NA,16,2021-09-02
"2613","PUBLIC SCHOOL DISTRICT","NEMO VISTA SCHOOL DIST",5,NA,NA,6,2021-09-02
"2614","PUBLIC SCHOOL DISTRICT","OUACHITA RIVER SCHOOL DIST",5,NA,NA,6,2021-09-02
"2615","PUBLIC SCHOOL DISTRICT","OZARK MOUNTAIN SCHOOL DIST",5,NA,NA,16,2021-09-02
"2616","PUBLIC SCHOOL DISTRICT","SHIRLEY SCHOOL DIST",5,0,7,8,2021-09-02
"2617","PUBLIC SCHOOL DISTRICT","VIOLA SCHOOL DIST",5,0,6,6,2021-09-02
"2618","PUBLIC SCHOOL DISTRICT","WESTSIDE SCHOOL DIST (JOHNSON)",5,NA,NA,11,2021-09-02
"2619","PUBLIC SCHOOL DISTRICT","TOTAL",4609,1080,6706,9549,2021-09-02
"2620","PUBLIC SCHOOL DISTRICT","NUMBER OF SCHOOLS LISTED: 199",NA,NA,NA,NA,2021-09-02
"2621","PRIVATE SCHOOL","ST. JOSEPH CATHOLIC SCHOOL, CONWAY",22,NA,NA,33,2021-09-02
"2622","PRIVATE SCHOOL","LITTLE ROCK CHRISTIAN ACADEMY, LITTLE ROCK",8,NA,NA,21,2021-09-02
"2623","PRIVATE SCHOOL","ST. THERESA CATHOLIC SCHOOL, LITTLE ROCK",5,NA,NA,5,2021-09-02
"2624","PRIVATE SCHOOL","TOTAL",35,NA,NA,59,2021-09-02
"2625","COLLEGE/UNIVERSITY","U OF A, FAYETTEVILLE",220,42,130,332,2021-09-02
"2626","COLLEGE/UNIVERSITY","UNIVERSITY OF CENTRAL ARKANSAS, CONWAY",58,17,58,131,2021-09-02
"2627","COLLEGE/UNIVERSITY","U OF A, PINE BLUFF",44,7,45,72,2021-09-02
"2628","COLLEGE/UNIVERSITY","HARDING UNIVERSITY, SEARCY",32,NA,NA,38,2021-09-02
"2629","COLLEGE/UNIVERSITY","U OF A FOR MEDICAL SCIENCES, LITTLE ROCK",22,18,5,83,2021-09-02
"2630","COLLEGE/UNIVERSITY","OUACHITA BAPTIST UNIVERSITY, ARKADELPHIA",21,NA,NA,23,2021-09-02
"2631","COLLEGE/UNIVERSITY","SOUTHERN ARKANSAS UNIVERSITY, MAGNOLIA",20,5,30,44,2021-09-02
"2632","COLLEGE/UNIVERSITY","U OF A, FORT SMITH",19,7,18,50,2021-09-02
"2633","COLLEGE/UNIVERSITY","NORTHWEST ARKANSAS COMMUNITY COLLEGE, BENTONVILLE",18,NA,NA,42,2021-09-02
"2634","COLLEGE/UNIVERSITY","ARKANSAS TECH UNIVERSITY, RUSSELLVILLE",13,5,28,48,2021-09-02
"2635","COLLEGE/UNIVERSITY","HENDERSON STATE UNIVERSITY, ARKADELPHIA",13,7,14,37,2021-09-02
"2636","COLLEGE/UNIVERSITY","U OF A, LITTLE ROCK",13,6,6,30,2021-09-02
"2637","COLLEGE/UNIVERSITY","NATIONAL PARK COLLEGE, HOT SPRINGS",11,NA,NA,28,2021-09-02
"2638","COLLEGE/UNIVERSITY","ARKANSAS STATE UNIVERSITY, JONESBORO",10,5,23,28,2021-09-02
"2639","COLLEGE/UNIVERSITY","JOHN BROWN UNIVERSITY, SILOAM SPRINGS",10,10,6,25,2021-09-02
"2640","COLLEGE/UNIVERSITY","U OF A, MONTICELLO",10,NA,NA,22,2021-09-02
"2641","COLLEGE/UNIVERSITY","UACC AT MORRILTON",10,5,6,19,2021-09-02
"2642","COLLEGE/UNIVERSITY","ASU THREE RIVERS, MALVERN",8,NA,NA,12,2021-09-02
"2643","COLLEGE/UNIVERSITY","UNIVERSITY OF THE OZARKS, CLARKSVILLE",8,0,6,10,2021-09-02
"2644","COLLEGE/UNIVERSITY","U OF A PULASKI TECHNICAL COLLEGE, N. LITTLE ROCK",7,NA,NA,24,2021-09-02
"2645","COLLEGE/UNIVERSITY","UACC AT HOPE-TEXARKANA, HOPE",7,NA,NA,13,2021-09-02
"2646","COLLEGE/UNIVERSITY","LYON COLLEGE, BATESVILLE",6,NA,NA,26,2021-09-02
"2647","COLLEGE/UNIVERSITY","SOUTHEAST ARKANSAS COLLEGE, PINE BLUFF",6,NA,NA,9,2021-09-02
"2648","COLLEGE/UNIVERSITY","ASU - NEWPORT",5,NA,NA,8,2021-09-02
"2649","COLLEGE/UNIVERSITY","CENTRAL BAPTIST COLLEGE, CONWAY",5,0,5,8,2021-09-02
"2650","COLLEGE/UNIVERSITY","TOTAL",596,154,488,1162,2021-09-02
"2651","COLLEGE/UNIVERSITY","NUMBER OF SCHOOLS LISTED: 25",NA,NA,NA,NA,2021-09-02
"2652","COLLEGE/UNIVERSITY","cSeptember 02, 2021",NA,NA,NA,NA,2021-09-02
"2653","PUBLIC SCHOOL DISTRICT","CABOT SCHOOL DIST",140,17,163,247,2021-08-30
"2654","PUBLIC SCHOOL DISTRICT","FORT SMITH SCHOOL DIST",122,45,163,247,2021-08-30
"2655","PUBLIC SCHOOL DISTRICT","SPRINGDALE SCHOOL DIST",122,34,210,288,2021-08-30
"2656","PUBLIC SCHOOL DISTRICT","ROGERS SCHOOL DIST",105,36,140,225,2021-08-30
"2657","PUBLIC SCHOOL DISTRICT","BENTONVILLE SCHOOL DIST",104,31,183,262,2021-08-30
"2658","PUBLIC SCHOOL DISTRICT","LITTLE ROCK SCHOOL DIST",79,18,142,189,2021-08-30
"2659","PUBLIC SCHOOL DISTRICT","JONESBORO SCHOOL DIST",75,11,103,126,2021-08-30
"2660","PUBLIC SCHOOL DISTRICT","CONWAY SCHOOL DIST",71,12,97,139,2021-08-30
"2661","PUBLIC SCHOOL DISTRICT","PARAGOULD SCHOOL DIST",55,7,63,104,2021-08-30
"2662","PUBLIC SCHOOL DISTRICT","VAN BUREN SCHOOL DIST",55,11,55,77,2021-08-30
"2663","PUBLIC SCHOOL DISTRICT","PULASKI COUNTY SPECIAL SCHOOL DIST",51,13,82,113,2021-08-30
"2664","PUBLIC SCHOOL DISTRICT","BRYANT SCHOOL DIST",50,13,78,113,2021-08-30
"2665","PUBLIC SCHOOL DISTRICT","MARION SCHOOL DIST",48,15,131,196,2021-08-30
"2666","PUBLIC SCHOOL DISTRICT","BROOKLAND SCHOOL DIST",47,NA,NA,71,2021-08-30
"2667","PUBLIC SCHOOL DISTRICT","GREENE COUNTY TECH SCHOOL DIST",38,13,57,81,2021-08-30
"2668","PUBLIC SCHOOL DISTRICT","NETTLETON SCHOOL DIST",38,11,48,77,2021-08-30
"2669","PUBLIC SCHOOL DISTRICT","SILOAM SPRINGS SCHOOL DIST",38,NA,NA,52,2021-08-30
"2670","PUBLIC SCHOOL DISTRICT","FAYETTEVILLE SCHOOL DIST",36,12,83,96,2021-08-30
"2671","PUBLIC SCHOOL DISTRICT","WYNNE SCHOOL DIST",34,12,33,54,2021-08-30
"2672","PUBLIC SCHOOL DISTRICT","HEBER SPRINGS SCHOOL DIST",33,NA,NA,45,2021-08-30
"2673","PUBLIC SCHOOL DISTRICT","JACKSONVILLE NORTH PULASKI SCHOOL DIST",33,6,39,58,2021-08-30
"2674","PUBLIC SCHOOL DISTRICT","MOUNTAIN HOME SCHOOL DIST",33,14,63,86,2021-08-30
"2675","PUBLIC SCHOOL DISTRICT","NASHVILLE SCHOOL DIST",33,0,45,46,2021-08-30
"2676","PUBLIC SCHOOL DISTRICT","SEARCY SCHOOL DIST",33,12,92,116,2021-08-30
"2677","PUBLIC SCHOOL DISTRICT","WEST MEMPHIS SCHOOL DIST",33,7,48,68,2021-08-30
"2678","PUBLIC SCHOOL DISTRICT","BATESVILLE SCHOOL DIST",32,8,47,59,2021-08-30
"2679","PUBLIC SCHOOL DISTRICT","DEQUEEN SCHOOL DIST",32,NA,NA,48,2021-08-30
"2680","PUBLIC SCHOOL DISTRICT","DOVER SCHOOL DIST",32,NA,NA,40,2021-08-30
"2681","PUBLIC SCHOOL DISTRICT","NORTH LITTLE ROCK SCHOOL DIST",31,11,56,81,2021-08-30
"2682","PUBLIC SCHOOL DISTRICT","GRAVETTE SCHOOL DIST",29,5,27,40,2021-08-30
"2683","PUBLIC SCHOOL DISTRICT","HAMBURG SCHOOL DIST",28,6,29,44,2021-08-30
"2684","PUBLIC SCHOOL DISTRICT","SHERIDAN SCHOOL DIST",28,12,47,70,2021-08-30
"2685","PUBLIC SCHOOL DISTRICT","BENTON SCHOOL DIST",27,7,49,70,2021-08-30
"2686","PUBLIC SCHOOL DISTRICT","HUNTSVILLE SCHOOL DIST",27,NA,NA,50,2021-08-30
"2687","PUBLIC SCHOOL DISTRICT","BOONEVILLE SCHOOL DIST",26,5,29,40,2021-08-30
"2688","PUBLIC SCHOOL DISTRICT","CLARKSVILLE SCHOOL DIST",26,6,34,49,2021-08-30
"2689","PUBLIC SCHOOL DISTRICT","LAMAR SCHOOL DIST",26,6,31,45,2021-08-30
"2690","PUBLIC SCHOOL DISTRICT","STUTTGART SCHOOL DIST",26,6,26,44,2021-08-30
"2691","PUBLIC SCHOOL DISTRICT","CADDO HILLS SCHOOL DIST",25,6,28,35,2021-08-30
"2692","PUBLIC SCHOOL DISTRICT","FORREST CITY SCHOOL DIST",25,NA,NA,34,2021-08-30
"2693","PUBLIC SCHOOL DISTRICT","LAKE HAMILTON SCHOOL DIST",25,9,61,75,2021-08-30
"2694","PUBLIC SCHOOL DISTRICT","MALVERN SCHOOL DIST",25,6,45,56,2021-08-30
"2695","PUBLIC SCHOOL DISTRICT","PEA RIDGE SCHOOL DIST",25,9,29,43,2021-08-30
"2696","PUBLIC SCHOOL DISTRICT","HARRISBURG SCHOOL DIST",24,9,25,47,2021-08-30
"2697","PUBLIC SCHOOL DISTRICT","ALMA SCHOOL DIST",23,0,22,32,2021-08-30
"2698","PUBLIC SCHOOL DISTRICT","EMERSON",23,NA,NA,26,2021-08-30
"2699","PUBLIC SCHOOL DISTRICT","FARMINGTON SCHOOL DIST",23,NA,NA,51,2021-08-30
"2700","PUBLIC SCHOOL DISTRICT","MAGNOLIA SCHOOL DIST",23,5,45,53,2021-08-30
"2701","PUBLIC SCHOOL DISTRICT","MENA SCHOOL DIST",23,6,28,42,2021-08-30
"2702","PUBLIC SCHOOL DISTRICT","POCAHONTAS SCHOOL DIST",23,9,21,37,2021-08-30
"2703","PUBLIC SCHOOL DISTRICT","WESTSIDE CONS. SCH DIST(CRAIGHEAD)",23,NA,NA,31,2021-08-30
"2704","PUBLIC SCHOOL DISTRICT","WHITE CO. CENTRAL SCHOOL DIST",23,5,15,26,2021-08-30
"2705","PUBLIC SCHOOL DISTRICT","PRAIRIE GROVE SCHOOL DIST",22,6,32,48,2021-08-30
"2706","PUBLIC SCHOOL DISTRICT","MOUNTAIN VIEW SCHOOL DIST",21,NA,NA,33,2021-08-30
"2707","PUBLIC SCHOOL DISTRICT","RUSSELLVILLE SCHOOL DIST",21,17,52,77,2021-08-30
"2708","PUBLIC SCHOOL DISTRICT","GLEN ROSE SCHOOL DIST",20,NA,NA,33,2021-08-30
"2709","PUBLIC SCHOOL DISTRICT","ASHDOWN SCHOOL DIST",19,5,25,41,2021-08-30
"2710","PUBLIC SCHOOL DISTRICT","GREENBRIER SCHOOL DIST",19,6,36,45,2021-08-30
